Status,Type,Lots,Entry Time,Exit Time,Entry Price,Exit Price,PnL (USD),Running Balance
TP,SHORT,0.01,2025-10-26T22:25:00.000Z,2025-10-26T22:30:00.000Z,4093.619,4088.45263,51.59,61.59
TP,SHORT,0.01,2025-10-26T22:30:00.000Z,2025-10-26T22:35:00.000Z,4093.441,4084.51521,89.19,150.78
TP,SHORT,0.01,2025-10-26T22:35:00.000Z,2025-10-26T22:40:00.000Z,4088.003,4079.61314,83.83,234.61
TP,SHORT,0.01,2025-10-26T22:40:00.000Z,2025-10-27T02:15:00.000Z,4087.147,2065.31809,20218.22,20452.83
SL,SHORT,0.04,2025-10-27T02:20:00.000Z,2025-10-27T03:05:00.000Z,4074.21,4084.8264,-409.71,20043.12
TP,SHORT,0.03,2025-10-27T03:05:00.000Z,2025-10-27T04:10:00.000Z,4077.887,4070.59471,247.16,20290.28
